"Bill of Material for "
"On 11/29/2017 at 3:05:28 PM"

"Comment","Pattern","Quantity","Components"

"0.1uF","0402","8","C1, C4, C9, C12, C14, C15, C18, C19","Ceramic Chip Capacitor - Standard"
"100k","3-0603","2","R10, R14","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
"100pF","0402","2","C2, C3","Ceramic Chip Capacitor - Standard"
"100x","3-0603","1","R12","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
"10k","3-0603","1","R3","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
"10nF","0402","2","C11, C16","Ceramic Chip Capacitor - Standard"
"10uF","Tant0805","1","C8",""
"1uF","Tant0805","6","C5, C6, C7, C10, C13, C20",""
"2k","3-0603","1","R5","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
"32.768kHz","XTAL-ABS06","1","*2",""
"330","3-0603","2","R7, R8","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
"330X","3-0603","1","R6","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
"33k","3-0603","2","R9, R13","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
"4.7k","3-0603","3","R1, R2, R11","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
"8MHz","XTAL-ABM3","1","*1",""
"ATmega8-16AC","32M1-A_M","1","U1","8-Bit AVR Microcontroller with 8K Bytes of In-System Programmable Flash Memory"
"AVR SPI","HDR2X3","1","P7","Header, 3-Pin, Dual row"
"Burn","BURN","1","P12",""
"DIP1","DIP1","1","P4",""
"DMN5L06TK-7","SOT-523","2","Q1, Q2","Ultra-low leakage Enhanced MOSFET"
"DS1342U","uSOP8","1","U5",""
"Header 2","HDR1X2","2","P6, P8","Header, 2-Pin"
"Header 3","HDR1X3","1","P9","Header, 3-Pin"
"Header 4","HDR1X4","1","P15","Header, 4-Pin"
"Header 5","HDR1X5","2","P11, P14","Header, 5-Pin"
"Header 9","HDR1X9","1","P99","Header, 9-Pin"
"Keller7LD","Keller7LD","1","U4","Keller Pressure/Temp"
"LED_0603","Diode0603","3","D1, D2, D3",""
"LP3985IM5-3.3","MF05A_N","1","U3","Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator"
"MCP73831T-2DCI/OT","SOT-23-OT5_N","1","U2","Miniature Single-Cell, Fully Integrated Li-Ion, Li-Polymer Charge Management Controller, 4.2V, 5-Pin SOT-23, Industrial Temperature, Tape and Reel"
"microSD-Molex","microSD_Molex_hinged","1","P2",""
"microUSB-vert","MICROUSB-VERT","1","P1","Molex 105133-0011"
"MPU9250","MPU6500","1","U9","Invensense"
"MS5837","MS5837","1","U10","Pressure/Temp"
"omit","3-0603","1","R4","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
"RGB light","ODFN","1","U7","RGB light sensor"
"Surface Pads","Surface Pads 5 x 2mm","1","P10",""
"Tactile","Tactile-B3U-1000","1","P5",""
