accelX,accelY,accelZ,magX,magY,magZ,gyroX,gyroY,gyroZ
203,62,-2088,-152,116,-24,7,22,0
205,62,-2088,-155,113,-17,10,20,0
201,65,-2096,-145,113,-9,7,21,0
202,64,-2089,-147,113,-15,8,23,0
201,59,-2090,-153,107,-13,5,20,0
203,62,-2088,-152,106,-12,8,20,1
199,65,-2091,-149,105,1,9,23,1
199,61,-2085,-150,112,-6,5,23,-1
202,61,-2085,-151,111,-13,6,22,0
203,60,-2087,-152,114,-18,4,20,0
203,62,-2088,-155,109,-7,5,25,-2
198,65,-2090,-147,113,-15,6,23,0
203,60,-2081,-150,112,-18,5,19,2
205,58,-2089,-145,115,-11,9,19,0
203,65,-2089,-148,112,-12,6,23,3
201,64,-2089,-150,116,-12,7,22,-2
199,63,-2092,-148,118,-14,6,21,1
199,60,-2084,-149,115,-9,8,21,0
200,57,-2091,-147,109,-15,5,22,0
202,59,-2089,-153,123,-11,6,22,0
203,60,-2090,-158,112,-12,5,23,-1
204,60,-2085,-143,109,-7,7,21,1
198,60,-2086,-152,110,-18,8,24,0
206,61,-2095,-151,105,-7,5,23,-1
206,59,-2085,-154,114,-14,8,22,3
204,61,-2088,-143,111,-7,7,24,0
201,57,-2088,-150,120,-10,7,22,0
201,62,-2087,-147,115,-13,9,24,-1
202,62,-2085,-147,109,-13,7,22,1
204,60,-2086,-155,117,-7,6,21,2
201,62,-2090,-148,116,-10,6,23,0
205,63,-2086,-154,108,-8,7,21,0
203,62,-2090,-145,111,-15,5,22,1
202,59,-2092,-150,110,-12,7,22,2
204,60,-2091,-154,104,-12,6,23,0
202,67,-2091,-156,112,-16,7,24,0
200,61,-2087,-157,111,-11,6,22,1
203,64,-2096,-151,113,-7,6,25,-1
201,55,-2085,-147,111,-15,9,23,-3
203,61,-2083,-153,111,-17,7,19,-2
206,61,-2088,-153,113,-15,6,22,-2
203,60,-2086,-152,108,-12,4,23,0
200,61,-2084,-156,118,-12,4,21,0
203,62,-2089,-152,110,-6,7,22,0
204,65,-2086,-150,108,-12,7,21,-1
202,60,-2093,-150,110,-12,9,21,0
205,61,-2093,-152,116,-10,9,23,-1
202,63,-2089,-146,112,-14,7,21,0
202,60,-2088,-148,108,-16,8,20,0
199,60,-2092,-153,115,-15,7,23,2
204,63,-2092,-149,109,-13,7,20,1
204,61,-2091,-155,111,-7,8,21,1
203,62,-2094,-145,113,-13,7,24,1
202,63,-2081,-147,113,-11,10,21,0
201,62,-2093,-151,119,-13,6,22,2
204,65,-2091,-146,112,-10,8,23,1
204,63,-2088,-148,110,-10,9,24,0
205,61,-2085,-145,105,-11,9,20,2
