accelX,accelY,accelZ,magX,magY,magZ,gyroX,gyroY,gyroZ
390,-484,-1936,-48,298,-80,63,919,-88
376,-465,-1965,-48,304,-72,20,948,-106
438,-505,-2033,-53,285,-79,-4,844,-121
423,-501,-2073,-47,297,-73,18,308,-22
399,-514,-1993,-52,288,-78,30,-63,55
385,-493,-1988,-42,292,-78,-20,-89,63
416,-497,-1958,-41,299,-75,-131,66,41
418,-470,-1994,-52,298,-76,-258,163,4
427,-470,-2028,-54,296,-72,-208,198,-16
448,-484,-2037,-44,296,-68,-149,123,4
422,-467,-2044,-54,290,-72,-43,26,20
404,-458,-1980,-56,296,-76,32,7,-46
413,-444,-1978,-53,285,-75,125,245,-142
448,-498,-2001,-49,295,-73,159,460,-156
438,-503,-2070,-47,299,-75,-344,-192,85
378,-449,-2053,-46,292,-70,-262,-355,157
409,-449,-1958,-57,289,-71,17,-5,-31
438,-408,-1954,-51,301,-73,-131,112,-13
459,-405,-1948,-46,296,-72,-183,8,-45
452,-425,-1913,-64,292,-70,-106,138,-38
439,-408,-1977,-60,296,-70,-264,143,9
425,-409,-1976,-47,293,-65,-122,225,-20
463,-412,-2020,-52,298,-64,-207,122,50
427,-400,-2017,-50,290,-82,-317,-140,148
432,-396,-2019,-55,291,-71,-181,21,69
451,-406,-2019,-62,298,-78,-140,92,52
436,-406,-2025,-57,297,-65,-213,-13,98
420,-410,-2028,-61,291,-73,-131,72,80
418,-409,-2016,-59,299,-67,6,152,39
421,-402,-1980,-67,301,-69,93,205,22
441,-402,-1958,-55,297,-71,37,324,-3
460,-414,-1966,-59,301,-65,-11,380,0
452,-416,-2020,-51,293,-73,-97,210,69
429,-436,-2005,-50,298,-66,-40,128,52
466,-425,-2044,-57,291,-63,-18,184,23
453,-424,-2009,-56,288,-74,14,42,17
460,-410,-1987,-54,292,-72,-18,67,-4
465,-426,-1991,-51,295,-63,-29,195,-9
479,-416,-2006,-57,285,-71,-15,227,-2
488,-415,-2003,-56,298,-68,-29,137,10
469,-410,-2009,-64,294,-74,-107,22,7
456,-409,-2010,-67,287,-71,-51,95,-16
472,-410,-2009,-57,285,-75,-32,185,-74
483,-415,-2016,-57,291,-71,-20,294,-104
509,-424,-2014,-64,288,-74,-38,184,-18
473,-394,-2032,-52,286,-62,-84,-26,70
458,-388,-1979,-55,295,-67,32,14,4
489,-398,-1978,-61,285,-67,49,147,-39
489,-390,-1976,-56,284,-68,104,177,-30
486,-402,-1956,-56,288,-64,80,149,-21
489,-404,-1971,-52,284,-72,3,123,-26
489,-405,-1967,-59,293,-79,20,146,-30
487,-406,-1994,-55,285,-69,-87,7,41
477,-405,-2028,-59,291,-69,-15,31,32
477,-410,-2015,-56,284,-66,19,46,-46
498,-407,-2017,-55,285,-61,9,141,-50
496,-406,-2023,-61,287,-59,29,158,-52
509,-404,-2010,-57,277,-69,64,128,-50
507,-400,-2006,-59,291,-63,101,189,-83
530,-404,-1960,-52,282,-68,58,124,-60
525,-402,-1968,-55,285,-71,34,87,-37
526,-420,-1947,-57,285,-75,36,28,-5
508,-404,-1943,-58,290,-76,-43,35,6
529,-406,-1969,-56,284,-66,-132,12,8
548,-434,-2018,-54,284,-70,-163,-121,-53
551,-501,-2103,-66,284,-60,-615,-1118,89
584,-574,-1989,-60,296,-72,-2170,-3361,610
415,-513,-2058,-70,300,-62,-2967,-4358,1381
213,-111,-1986,-79,305,-67,-2063,-2849,1358
218,-206,-1996,-68,304,-60,-1686,-1645,1048
191,-148,-2023,-89,307,-61,-2299,-1671,1218
195,-168,-2058,-81,309,-55,-2485,-1665,1558
107,-55,-2060,-87,307,-59,-2787,-1632,2096
55,6,-2079,-98,314,-54,-2849,-1545,2077
29,64,-2175,-94,310,-42,-2657,-948,2078
142,41,-2151,-104,306,-42,-1973,-370,2364
213,-13,-2101,-99,297,-33,-1995,99,2947
127,175,-2009,-107,299,-31,-2519,669,3850
182,204,-2043,-113,289,-31,-2542,1126,5005
207,303,-2216,-109,273,-25,-2090,2444,5663
265,343,-2347,-112,258,0,177,4334,5547
397,459,-2294,-93,247,-19,1271,2918,5273
526,151,-2230,-87,233,-15,1097,1136,5020
487,127,-2183,-92,220,-18,537,523,4545
376,19,-2082,-73,221,-11,-7,1033,4465
349,206,-2223,-83,215,-15,-440,973,4108
365,150,-2068,-68,200,-10,206,1325,3495
1040,92,-2938,-69,191,-11,-325,4137,4201
848,-153,-2299,-52,188,-8,3153,961,4220
339,278,-1975,-41,179,-9,2554,-1742,3466
386,-22,-1845,-43,183,-15,903,-1863,2916
686,-298,-1754,-32,168,-14,1635,2677,4324
935,-379,-1793,-19,167,-13,-79,3617,5397
767,-194,-1944,-8,168,-14,-3034,-1097,5145
457,99,-2169,-14,162,-18,-3787,-3548,4315
442,47,-2110,-11,167,-13,-2268,-2121,4098
691,-258,-2187,-7,171,-15,-1493,-755,4340
663,-222,-2124,3,167,-21,-624,-855,4695
475,-96,-2127,5,161,-13,888,-65,5057
505,-134,-1958,24,164,-22,229,-39,4420
572,-19,-2266,25,163,-19,-1828,532,4040
488,48,-2271,25,165,-7,-1484,1058,4531
601,-254,-2116,37,155,-9,-298,1525,5019
693,-465,-2049,47,161,-5,-391,1024,4563
463,65,-2261,62,158,-18,-460,882,4650
570,165,-2878,68,148,-2,947,50,4242
619,-331,-2058,78,152,-2,2627,-422,4601
611,-291,-1817,92,152,-6,2239,899,5710
645,-486,-1548,107,157,-5,-704,3566,7394
586,-95,-1864,107,153,-9,-5050,5265,7456
681,-31,-2230,110,162,-4,-5064,4524,6830
682,-67,-2150,126,152,16,-2409,3020,6977
738,51,-2286,128,164,14,-230,1556,7263
615,-180,-2011,152,170,8,1977,-138,6053
692,-405,-1754,154,170,10,2286,-1314,5290
663,-455,-1443,164,188,4,803,546,5935
870,-496,-1633,175,189,7,-656,2547,7616
1048,-642,-1934,193,209,9,-408,3460,9686
877,-145,-2196,205,213,23,422,2662,11024
538,-273,-1828,219,243,29,1015,283,10346
443,-541,-1813,230,252,24,1835,-1352,9230
506,-830,-1756,238,270,30,2192,-1707,9352
495,-773,-1648,246,296,34,1959,-668,9641
636,-1009,-1655,250,318,40,1684,1161,10503
417,-640,-1470,255,345,41,59,3783,10671
-105,-746,-1889,249,361,47,-1619,4828,9684
-60,-808,-1978,246,386,42,-2024,2161,9015
-30,-989,-2017,240,402,46,-755,-633,10091
-28,-1022,-1987,229,431,47,-318,-1645,10077
137,-649,-1744,226,452,46,-721,-1143,9172
213,-381,-1784,210,462,40,-1528,1535,8086
-94,-314,-1856,200,476,34,-1989,3005,6802
-211,-400,-2025,178,478,28,-2157,2799,5897
-538,-342,-2348,183,491,25,-1918,-122,6007
-670,-645,-2256,155,495,21,-1625,-4162,7297
-1087,-737,-2014,149,507,33,-105,-4729,5813
-889,-474,-1814,139,527,51,-273,-4821,4832
-535,-195,-1878,136,540,64,-641,-3563,5008
-683,-187,-1964,115,537,67,-693,-3222,5812
-886,-192,-1775,102,548,70,-362,-2995,6103
-1076,-77,-1750,93,561,79,-417,-2482,6617
-1000,31,-1733,82,558,72,-561,-2328,6850
-872,27,-1713,64,562,78,-392,-1702,6572
-1043,331,-1845,49,569,83,104,-468,6470
-1069,-48,-2022,32,562,92,2109,-1359,7380
-1108,341,-1796,12,558,88,4020,-2377,8385
-1187,346,-1673,2,556,100,4411,-2059,7120
-1093,340,-1771,-13,569,91,3922,-1089,4952
-864,294,-1892,-27,557,93,2961,-1262,3410
-939,220,-2123,-31,557,99,2705,-2230,2262
-990,104,-1908,-34,552,112,4887,-4896,2611
-1092,202,-1385,-37,557,119,6811,-5964,2634
-841,194,-1586,-37,553,127,6336,-5832,1796
-889,59,-1858,-42,550,132,5470,-5629,870
-1142,-23,-1533,-33,557,151,4966,-6930,-419
-1217,-26,-1386,-32,564,162,4914,-8620,-1240
-839,-341,-1180,-38,564,172,5768,-10096,-1213
-887,105,-878,-37,553,199,7535,-10721,-973
-865,-76,-341,-47,549,213,8582,-10392,445
-1112,223,80,-53,533,233,7186,-10344,3350
-1269,498,593,-62,518,248,5790,-11437,2114
-1298,266,837,-67,501,267,4828,-13438,-716
-1450,382,1173,-75,487,285,5057,-14331,439
-1290,539,1514,-84,470,300,5704,-12699,787
-1338,374,1984,-91,441,299,6248,-8644,1701
-1307,270,2119,-99,439,299,4183,-8888,367
-1005,128,1986,-102,418,302,687,-12891,-2500
-1109,283,1799,-99,405,319,-1425,-16340,-4042
-708,277,1766,-88,370,328,-2466,-17390,-3694
-98,-8,1615,-87,357,341,-794,-13362,-1250
415,-34,1507,-82,326,340,-802,-14597,-1383
966,-262,1575,-86,294,334,-2399,-18647,-3677
1365,-365,1622,-91,269,321,-2802,-19964,-3936
1637,-520,1695,-77,235,303,-2530,-18436,-2729
1671,-275,1392,-78,214,280,-3260,-19968,-2599
1970,-70,844,-77,187,249,-4429,-24356,-2370
2221,-21,-88,-77,181,209,-4282,-27599,-1697
2361,-153,66,-76,152,158,-2789,-23410,-1975
2591,-311,-653,-75,157,123,69,-18399,-1296
2985,-598,-1264,-79,167,87,754,-16871,268
2437,-116,-1585,-80,174,44,2620,-18728,2257
2021,103,-1559,-74,192,6,4333,-21537,2048
1440,-332,-1440,-58,230,-34,4063,-22628,2173
1008,-672,-1097,-50,266,-66,2918,-19163,2626
562,-998,-1306,-49,297,-87,948,-13407,3953
-188,-393,-2288,-46,312,-82,-1338,-9491,4789
18,-223,-2609,-44,324,-84,261,-8099,3670
-384,56,-2746,-42,338,-96,3147,-9268,3947
-675,150,-2156,-38,364,-86,3531,-10883,2155
-687,-573,-1596,-31,385,-85,3391,-10243,-514
-1141,-970,-1152,-13,403,-87,2915,-7659,779
-1829,-999,-996,-14,412,-74,1398,-6633,1029
-1578,-1021,-1761,-20,428,-68,345,-4835,452
-1956,-861,-1771,-20,444,-70,1178,-4022,1055
-1232,-706,-2122,-15,439,-59,142,-5048,1166
-1024,-1005,-1447,-19,459,-55,-484,-6598,1604
-1307,-1050,-911,-21,463,-55,-348,-3166,2957
